Nation,Pld,W,D,L,Pts,APts,GF,AGF,GA,AGA,GD,AGD,CS,ACS,YC,AYC,RC,ARC
Total,51(1),39,12(2),39,141,1.38,142,1.39,142,1.39,0,0.00,27,0.26,151,1.48,6,0.06
England,7,5,2,0,17,2.43,11,1.57,2,0.29,+9,1.29,5,0.71,6,0.86,0,0.0
Italy,7,5,2,0,17,2.43,13,1.86,4,0.57,+9,1.29,3,0.43,12,1.71,0,0.0
Belgium,5,4,0,1,12,2.4,9,1.8,3,0.6,+6,1.20,3,0.6,4,0.8,0,0.0
Spain,6,2,4,0,10,1.67,13,2.17,6,1.0,+7,1.17,2,0.33,6,1.0,0,0.0
Netherlands,4,3,0,1,9,2.25,8,2.0,4,1.0,+4,1.00,2,0.5,3,0.75,1,0.25
Denmark,6,3,0,3,9,1.5,12,2.0,7,1.17,+5,0.83,1,0.17,5,0.83,0,0.0
Czech Republic,5,2,1,2,7,1.4,6,1.2,4,0.8,+2,0.40,2,0.4,7,1.4,0,0.0
Sweden,4,2,1,1,7,1.75,5,1.25,4,1.0,+1,0.25,2,0.5,5,1.25,1,0.25
Ukraine,5,2,0,3,6,1.2,6,1.2,10,2.0,−4,−0.80,0,0.0,4,0.8,0,0.0
Switzerland,5,1,3,1,6,1.2,8,1.6,9,1.8,−1,−0.20,0,0.0,11,2.2,1,0.2
Austria,4,2,0,2,6,1.5,5,1.25,5,1.25,0,0.00,1,0.25,6,1.5,0,0.0
France,4,1,3,0,6,1.5,7,1.75,6,1.5,+1,0.25,1,0.25,8,2.0,0,0.0
Portugal,4,1,1,2,4,1.0,7,1.75,7,1.75,0,0.00,1,0.25,4,1.0,0,0.0
Germany,4,1,1,2,4,1.0,6,1.5,7,1.75,−1,−0.25,0,0.0,7,1.75,0,0.0
Croatia,4,1,1,2,4,1.0,7,1.75,8,2.0,−1,−0.25,0,0.0,7,1.75,0,0.0
Wales,4,1,1,2,4,1.0,3,0.75,6,1.5,−3,−0.75,1,0.25,9,2.25,2,0.5
Russia,3,1,0,2,3,1.0,2,0.67,7,2.33,−5,−1.67,1,0.33,5,1.67,0,0.0
Slovakia,3,1,0,2,3,1.0,2,0.67,7,2.33,−5,−1.67,0,0.0,6,2.0,0,0.0
Finland,3,1,0,2,3,1.0,1,0.33,3,1.0,−2,−0.67,1,0.33,4,1.33,0,0.0
Hungary,3,0,2,1,2,0.67,3,1.0,6,2.0,−3,−1.00,0,0.0,6,2.0,0,0.0
Poland,3,0,1,2,1,0.33,4,1.33,6,2.0,−2,−0.67,0,0.0,8,2.67,1,0.33
Scotland,3,0,1,2,1,0.33,1,0.33,5,1.67,−4,−1.33,1,0.33,3,1.0,0,0.0
Turkey,3,0,0,3,0,0.0,1,0.33,8,2.67,−7,−2.33,0,0.0,7,2.33,0,0.0
North Macedonia,3,0,0,3,0,0.0,2,0.67,8,2.67,−6,−2.00,0,0.0,8,2.67,0,0.0
