Nation,Pld,W,D,L,Pts,APts,GF,AGF,GA,AGA,GD,AGD,CS,ACS,YC,AYC,RC,ARC
Total,31(1),24,7(2),24,86,1.39,76,1.23,76,1.23,0,0.00,17,0.27,123,1.98,3,0.05
Spain,6,4,2,0,14,2.33,12,2.0,1,0.17,+11,1.83,5,0.83,11,1.83,0,0.0
Germany,5,4,0,1,12,2.4,10,2.0,6,1.2,+4,0.80,1,0.2,4,0.8,0,0.0
Portugal,5,3,1,1,10,2.0,6,1.2,4,0.8,+2,0.40,2,0.4,12,2.4,0,0.0
Italy,6,2,3,1,9,1.5,6,1.0,7,1.17,−1,−0.17,2,0.33,16,2.67,0,0.0
England,4,2,2,0,8,2.0,5,1.25,3,0.75,+2,0.50,2,0.5,5,1.25,0,0.0
Czech Republic,4,2,0,2,6,1.5,4,1.0,6,1.5,−2,−0.50,1,0.25,7,1.75,0,0.0
Russia,3,1,1,1,4,1.33,5,1.67,3,1.0,+2,0.67,0,0.0,6,2.0,0,0.0
Croatia,3,1,1,1,4,1.33,4,1.33,3,1.0,+1,0.33,0,0.0,9,3.0,0,0.0
Greece,4,1,1,2,4,1.0,5,1.25,7,1.75,−2,−0.50,1,0.25,11,2.75,1,0.25
France,4,1,1,2,4,1.0,3,0.75,5,1.25,−2,−0.50,1,0.25,6,1.5,0,0.0
Denmark,3,1,0,2,3,1.0,4,1.33,5,1.67,−1,−0.33,1,0.33,4,1.33,0,0.0
Sweden,3,1,0,2,3,1.0,5,1.67,5,1.67,0,0.00,1,0.33,7,2.33,0,0.0
Ukraine,3,1,0,2,3,1.0,2,0.67,4,1.33,−2,−0.67,0,0.0,5,1.67,0,0.0
Poland,3,0,2,1,2,0.67,2,0.67,3,1.0,−1,−0.33,0,0.0,7,2.33,1,0.33
Republic of Ireland,3,0,0,3,0,0.0,1,0.33,9,3.0,−8,−2.67,0,0.0,8,2.67,1,0.33
Netherlands,3,0,0,3,0,0.0,2,0.67,5,1.67,−3,−1.00,0,0.0,5,1.67,0,0.0
