Nation,Pld,W,D,L,Pts,APts,GF,AGF,GA,AGA,GD,CS,ACS,YC,AYC,RC,ARC
Total,31,27,8,27,89,2.87,85,2.74,85,2.74,0,19,0.61,122,3.93,8,0.25
France,6,5,0,1,15,2.5,13,2.16,7,1.16,6,1,0.16,8,1.33,0,0.0
Italy,6,4,1,1,13,2.17,9,1.5,4,0.66,5,3,0.5,11,1.83,1,0.16
Netherlands,5,4,1,0,13,2.6,13,2.6,3,0.6,10,3,0.6,13,2.16,0,0.0
Portugal,5,4,0,1,12,2.4,10,2.0,4,0.8,6,3,0.6,13,2.6,0,0.0
Spain,4,2,0,2,6,1.5,7,1.75,7,1.75,0,0,0.0,9,2.25,0,0.0
FR Yugoslavia,4,1,1,2,4,1.0,8,2.0,13,3.25,-5,1,0.25,10,2.5,3,0.75
Turkey,4,1,1,2,4,1.0,3,0.75,4,1.0,-1,2,0.5,6,1.5,1,0.25
Romania,4,1,1,2,4,1.0,4,1.0,6,1.5,-2,0,0.0,11,2.74,1,0.25
Norway,3,1,1,1,4,1.33,1,0.33,1,0.33,0,2,0.66,5,1.66,0,0.0
Czech Republic,3,1,0,2,3,1.0,3,1.0,3,1.0,0,1,0.33,9,3.0,0,0.0
England,3,1,0,2,3,1.0,5,1.66,6,2.0,-1,1,0.33,3,1.0,0,0.0
Belgium,3,1,0,2,3,1.0,2,0.66,5,1.66,-3,0,0.0,6,2.0,1,0.33
Slovenia,3,0,2,1,2,0.66,4,1.33,5,1.66,-1,1,0.33,6,2.0,0,0.0
Germany,3,0,1,2,1,0.33,1,0.33,5,1.66,-4,0,0.0,5,1.66,0,0.0
Sweden,3,0,1,2,1,0.33,2,0.66,4,1.33,-2,1,0.33,2,0.66,1,0.33
Denmark,3,0,0,3,0,0.0,0,0.0,8,2.66,-8,0,0.0,5,1.66,0,0.0
