Nation,Pld,W,D,L,Pts,APts,GF,AGF,GA,AGA,GD,CS,ACS,YC,AYC,RC,ARC
Total,31,23,16,23,85,2.7,77,2.48,77,2.48,0,19,0.61,157,5.06,6,0.19
Greece,6,4,1,1,13,2.0,7,1.16,4,0.66,+3,3,0.5,18,3.0,0,0.0
Czech Republic,5,4,0,1,12,2.4,10,2.0,5,1.0,+5,1,0.2,8,1.6,0,0.0
Portugal,6,4,0,2,12,2.0,8,1.33,6,1.0,+2,2,0.33,14,2.33,0,0.0
Netherlands,5,2,1,2,7,1.4,7,1.4,6,1.2,+1,2,0.4,10,2.0,1,0.2
France,4,2,1,1,7,1.75,7,1.75,5,1.25,+2,0,0.0,7,1.75,0,0.0
England,4,2,0,2,6,1.5,10,2.5,6,1.5,+4,1,0.25,7,1.75,0,0.0
Sweden,4,1,2,1,5,1.25,8,2.0,3,1.33,+5,2,0.5,8,2.0,0,0.0
Italy,3,1,2,0,5,1.66,3,1.0,2,0.66,+1,1,0.33,8,2.66,0,0.0
Denmark,4,1,2,1,5,1.25,4,1.0,5,1.25,−1,2,0.5,7,1.75,0,0.0
Spain,3,1,1,1,4,1.33,2,0.66,2,0.66,0,1,0.33,8,2.66,0,0.0
Russia,3,1,0,2,3,1.0,2,0.66,4,1.33,−2,0,0.0,15,5.0,2,0.66
Croatia,3,0,2,1,2,0.66,4,1.33,6,2.0,−2,1,0.33,10,3.33,0,0.0
Germany,3,0,2,1,2,0.66,2,0.66,3,1.0,−1,1,0.33,8,2.66,0,0.0
Latvia,3,0,1,2,1,0.33,1,0.33,5,1.66,−4,1,0.33,3,1.0,0,0.0
Switzerland,3,0,1,2,1,0.33,1,0.33,6,2.0,−5,1,0.33,10,3.33,2,0.66
Bulgaria,3,0,0,3,0,0.0,1,0.33,9,3.0,−8,0,0.0,15,5.0,1,0.33
